Dataset,Run_ID,Variant,Model,Number_Users,Number_Items,Number_Interactions,Density,Sparsity,Avg_User_Degree,Avg_Item_Degree,rmse_mean,Precision@10_mean,Recall@10_mean,NDCG@10_mean,MRR@10_mean,Coverage@10_mean,CatalogItems_mean,UniqueRecItems@10_mean,ItemCV@10_mean,UserCoverage@10_mean,FixedEval_mean,FixedEvalUsers_mean,FixedEvalCandidates_mean,EEL@10_mean,RecGini_mean,RecEntropy_mean,1-Gini@10_mean,ARP@10_mean,APLT@10_mean,LTShare@10_mean,EPC@10_mean,EFD@10_mean,EPC_rel@10_mean,EFD_rel@10_mean,ILS_mean,Diversity_mean
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p25,BPR,135157,13289,8440837,0.00469953262487707,0.995300467375123,62.4520890519914,635.17473098051,,0.0208467242400847,0.208467242400847,0.105858329359444,0.075021730388716,0.596971830985916,7100,4238.5,3.56310972123183,0.208467242400847,1,55697,55752697,0.00149026918170085,0.90219002085478,9.79381912555824,0.0978099791452203,10556.4376833582,0.00134036618593894,0.0538844102913981,0.913978453386365,10.0224347953139,0.0210027393049435,0.228083225217757,0.234804724744089,0.765195275255911
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p25,ItemKNN,135157,13289,8440837,0.00469953262487707,0.995300467375123,62.4520890519914,635.17473098051,,0.0218755049643607,0.218755049643607,0.111901999592665,0.0797746793805827,0.44169014084507,7100,3136,4.33772397000504,0.218755049643607,1,55697,55752697,0.00156433891510702,0.939618912389888,9.1314416008783,0.0603810876101115,12127.2023968975,0.000517893306828494,0.0145519507334327,0.902409251655608,9.64112437323322,0.0221317480707885,0.237561689794494,0.257420969827815,0.742579030172185
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p25,LightGCN,135157,13289,8440837,0.00469953262487707,0.995300467375123,62.4520890519914,635.17473098051,,0.0204849453291919,0.204849453291919,0.10359721860524,0.0732258028203052,0.488521126760563,7100,3468.5,3.66324497220112,0.204849453291919,1,55697,55752697,0.00153713853156851,0.911809916684504,9.66797157755405,0.0881900833154959,10957.9569985816,0.00103286967731953,0.0337980501642817,0.909478078985954,9.87824186713173,0.0204407941401834,0.220162209089326,0.241131522680471,0.758868477319529
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p25,MultiVAE,135157,13289,8440837,0.00469953262487707,0.995300467375123,62.4520890519914,635.17473098051,,0.0172235488446415,0.172235488446415,0.0876136530252383,0.062226617460517,0.198239436619718,7100,1407.5,4.75308712012142,0.172235488446415,1,55697,55752697,0.00165489890313009,0.9559905671709,8.71672506672072,0.0440094328290997,13247.6580785321,0.000207031951596858,0.00482701043144155,0.891976469714296,9.4443785857728,0.0169628846974597,0.178946439825175,0.287712552837731,0.712287447162269
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p25,NeuMF,135157,13289,8440837,0.00469953262487707,0.995300467375123,62.4520890519914,635.17473098051,,0.0223800204678888,0.223800204678888,0.113234312491991,0.0800000235115681,0.726338028169014,7100,5157,2.83548893881793,0.223800204678888,1,55697,55752697,0.00142860235356421,0.854208731752047,10.3846317407852,0.145791268247953,8780.89061439575,0.0023837898396329,0.0961443165700128,0.930437409079779,10.4588387955598,0.0228626424395551,0.253925908721738,0.205159906566382,0.794840093433618
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p50,BPR,136592,13650,8953042,0.00480189551965351,0.995198104480347,65.5458738432705,655.900512820513,,0.0209409842540891,0.209409842540891,0.106438698785709,0.0755167450813087,0.605915492957746,7100,4302,3.49867477214262,0.209409842540891,1,55697,55752697,0.00148530009569615,0.898767866476728,9.84359570665528,0.101232133523272,11229.317295366,0.00150672247392567,0.0568334021581055,0.90937566789475,10.0432301498385,0.0209897699597167,0.230036094026395,0.22084124663921,0.77915875336079
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p50,ItemKNN,136592,13650,8953042,0.00480189551965351,0.995198104480347,65.5458738432705,655.900512820513,,0.022019139271415,0.22019139271415,0.112230309094742,0.0798236831883168,0.447183098591549,7100,3175,4.25393107695077,0.22019139271415,1,55697,55752697,0.00156160136397856,0.937538464534073,9.18272956105159,0.0624615354659269,12816.8985977701,0.000583184699927315,0.0157818194875846,0.897665885652635,9.66744874530341,0.0220559204937362,0.238717285200168,0.242431893704721,0.757568106295279
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p50,LightGCN,136592,13650,8953042,0.00480189551965351,0.995198104480347,65.5458738432705,655.900512820513,,0.0205136721906027,0.205136721906027,0.104064028966772,0.0737409020918456,0.503591549295775,7100,3575.5,3.59999883954651,0.205136721906027,1,55697,55752697,0.00152904099854071,0.909128412105023,9.71242271609079,0.0908715878949773,11653.0435983985,0.00110032238185431,0.0361258236529795,0.904510990008037,9.89820903552197,0.0203948412435066,0.221442699996572,0.227158331895139,0.772841668104861
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p50,MultiVAE,136592,13650,8953042,0.00480189551965351,0.995198104480347,65.5458738432705,655.900512820513,,0.0172675368511769,0.172675368511769,0.0879838366486902,0.0625724370039593,0.216056338028169,7100,1534,4.71355966679673,0.172675368511769,1,55697,55752697,0.00164816152333388,0.954244191977354,8.76853729581078,0.0457558080226456,14176.5035702102,0.000236349248361714,0.00632798894015836,0.88493926719421,9.45156371872963,0.0168719918261667,0.179717809660019,0.272034897171208,0.727965102828792
MovieLens 20M,ml20m_addback_k50_from_k5_common_test_20260511_214112,kcore50_addback_from_kcore5_p50,NeuMF,136592,13650,8953042,0.00480189551965351,0.995198104480347,65.5458738432705,655.900512820513,,0.022412338186976,0.22412338186976,0.113215297880785,0.0799117446979989,0.753380281690141,7100,5349,2.74105976120541,0.22412338186976,1,55697,55752697,0.00141459663011109,0.846364987923834,10.463127408922,0.153635012076166,9124.07477332711,0.00257864376915051,0.104840476147728,0.928558607055972,10.5299396082461,0.0227958931572888,0.255638279307874,0.192546872079248,0.807453127920752
